userId	geneSymbol	geneName	entrezgene	score	gLink
14-3-3epsilon	14-3-3epsilon	14-3-3epsilon	42186	0.547036573977319	https://www.ncbi.nlm.nih.gov/gene/?term=42186
26-29-p	26-29-p	26-29kD-proteinase	39547	0.89993051675682	https://www.ncbi.nlm.nih.gov/gene/?term=39547
2mit	2mit	2mit	41616	-1.51711259944639	https://www.ncbi.nlm.nih.gov/gene/?term=41616
4E-T	4E-T	eIF4E-Transporter	43836	0.544546776167026	https://www.ncbi.nlm.nih.gov/gene/?term=43836
5-HT1A	5-HT1A	5-hydroxytryptamine (serotonin) receptor 1A	37196	-1.9186449859758	https://www.ncbi.nlm.nih.gov/gene/?term=37196
5-HT1B	5-HT1B	5-hydroxytryptamine (serotonin) receptor 1B	37191	-2.3677752241859	https://www.ncbi.nlm.nih.gov/gene/?term=37191
5-HT2A	5-HT2A	5-hydroxytryptamine (serotonin) receptor 2A	40575	-1.23378273695197	https://www.ncbi.nlm.nih.gov/gene/?term=40575
5-HT2B	5-HT2B	5-hydroxytryptamine (serotonin) receptor 2B	41017	-3.01672556953069	https://www.ncbi.nlm.nih.gov/gene/?term=41017
5-HT7	5-HT7	5-hydroxytryptamine (serotonin) receptor 7	43669	-2.38352519259369	https://www.ncbi.nlm.nih.gov/gene/?term=43669
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	38193	-0.56895150532359	https://www.ncbi.nlm.nih.gov/gene/?term=38193
ACXA	ACXA	ACXA	53432	-4.90630744732798	https://www.ncbi.nlm.nih.gov/gene/?term=53432
ACXB	ACXB	ACXB	53427	-4.25514765000618	https://www.ncbi.nlm.nih.gov/gene/?term=53427
ACXD	ACXD	ACXD	38284	-1.38895711455602	https://www.ncbi.nlm.nih.gov/gene/?term=38284
AGBE	AGBE	1,4-Alpha-Glucan Branching Enzyme	326264	0.515758153040283	https://www.ncbi.nlm.nih.gov/gene/?term=326264
AGO1	AGO1	Argonaute-1	36544	0.430460708433266	https://www.ncbi.nlm.nih.gov/gene/?term=36544
AGO2	AGO2	Argonaute 2	39683	0.44353307857726	https://www.ncbi.nlm.nih.gov/gene/?term=39683
AGO3	AGO3	Argonaute 3	3355150	0.67230326622187	https://www.ncbi.nlm.nih.gov/gene/?term=3355150
AP-1-2beta	AP-1-2beta	Adaptor Protein complex 1/2, beta subunit	32987	0.416577235124718	https://www.ncbi.nlm.nih.gov/gene/?term=32987
AP-1gamma	AP-1gamma	Adaptor Protein complex 1, gamma subunit	31842	0.427557896579826	https://www.ncbi.nlm.nih.gov/gene/?term=31842
AP-2alpha	AP-2alpha	Adaptor Protein complex 2, alpha subunit	33211	0.476017319230928	https://www.ncbi.nlm.nih.gov/gene/?term=33211
AP-2mu	AP-2mu	Adaptor Protein complex 2, mu subunit	42642	0.486212618802871	https://www.ncbi.nlm.nih.gov/gene/?term=42642
AQP	AQP	aquaporin	36456	-1.07821706694444	https://www.ncbi.nlm.nih.gov/gene/?term=36456
ATPCL	ATPCL	ATP citrate lyase	36760	0.370725233678062	https://www.ncbi.nlm.nih.gov/gene/?term=36760
Abd-B	Abd-B	Abdominal B	47763	-1.57429798353675	https://www.ncbi.nlm.nih.gov/gene/?term=47763
Abi	Abi	Abelson interacting protein	41718	0.648794973936782	https://www.ncbi.nlm.nih.gov/gene/?term=41718
Abl	Abl	Abl tyrosine kinase	45821	0.571390562595412	https://www.ncbi.nlm.nih.gov/gene/?term=45821
Abp1	Abp1	Actin binding protein 1	39520	0.454943797537103	https://www.ncbi.nlm.nih.gov/gene/?term=39520
Ac3	Ac3	Ac3	35419	-2.08728584032865	https://www.ncbi.nlm.nih.gov/gene/?term=35419
Ac76E	Ac76E	Adenylyl cyclase 76E	40180	-0.643395124922417	https://www.ncbi.nlm.nih.gov/gene/?term=40180
Ac78C	Ac78C	Adenylyl cyclase 78C	40333	-2.36101454937282	https://www.ncbi.nlm.nih.gov/gene/?term=40333
Acer	Acer	Angiotensin-converting enzyme-related	34189	0.690712212802829	https://www.ncbi.nlm.nih.gov/gene/?term=34189
Ack-like	Ack-like	Activated Cdc42 kinase-like	36442	0.303685281204857	https://www.ncbi.nlm.nih.gov/gene/?term=36442
Acn	Acn	Acinus	35173	0.547319470467977	https://www.ncbi.nlm.nih.gov/gene/?term=35173
Acp33A	Acp33A	Accessory gland-specific peptide 33A	3772154	-6.61315292268876	https://www.ncbi.nlm.nih.gov/gene/?term=3772154
Acp36DE	Acp36DE	Accessory gland protein 36DE	35096	-5.20163672756903	https://www.ncbi.nlm.nih.gov/gene/?term=35096
Acp53C14a	Acp53C14a	Accessory gland protein 53C14a	36872	-7.42238021706642	https://www.ncbi.nlm.nih.gov/gene/?term=36872
Acp53C14b	Acp53C14b	Accessory gland protein 53C14b	36873	-5.21049236688041	https://www.ncbi.nlm.nih.gov/gene/?term=36873
Acp76A	Acp76A	Accessory gland protein 76A	40078	-5.16556411659841	https://www.ncbi.nlm.nih.gov/gene/?term=40078
Acsl	Acsl	Acyl-CoA synthetase long-chain	46068	0.57864467957251	https://www.ncbi.nlm.nih.gov/gene/?term=46068
Act42A	Act42A	Actin 42A	35526	0.709034851066574	https://www.ncbi.nlm.nih.gov/gene/?term=35526
Act5C	Act5C	Actin 5C	31521	0.618387579629201	https://www.ncbi.nlm.nih.gov/gene/?term=31521
Actbeta	Actbeta	Activin-beta	43826	-1.64876684224387	https://www.ncbi.nlm.nih.gov/gene/?term=43826
Acyp	Acyp	Acylphosphatase	34807	-7.21445741893179	https://www.ncbi.nlm.nih.gov/gene/?term=34807
AdSS	AdSS	Adenylosuccinate Synthetase	42466	0.513097220605739	https://www.ncbi.nlm.nih.gov/gene/?term=42466
Ada2a	Ada2a	transcriptional Adaptor 2a	326128	-1.41950650096335	https://www.ncbi.nlm.nih.gov/gene/?term=326128
Ada2b	Ada2b	transcriptional Adaptor 2b	40966	0.662661561908332	https://www.ncbi.nlm.nih.gov/gene/?term=40966
Adar	Adar	Adenosine deaminase acting on RNA	31130	-0.604255868126506	https://www.ncbi.nlm.nih.gov/gene/?term=31130
Adgf-B	Adgf-B	Adenosine deaminase-related growth factor B	39975	-4.22353110094449	https://www.ncbi.nlm.nih.gov/gene/?term=39975
Adgf-C	Adgf-C	Adenosine deaminase-related growth factor C	41680	-2.70082524859658	https://www.ncbi.nlm.nih.gov/gene/?term=41680
Adgf-E	Adgf-E	Adenosine deaminase-related growth factor E	36627	-5.47547140651107	https://www.ncbi.nlm.nih.gov/gene/?term=36627
Adk2	Adk2	Adenylate kinase 2	37834	0.38393071664027	https://www.ncbi.nlm.nih.gov/gene/?term=37834
AdoR	AdoR	Adenosine receptor	43583	-2.53771853934959	https://www.ncbi.nlm.nih.gov/gene/?term=43583
Aef1	Aef1	Adult enhancer factor 1	40370	0.616401720378744	https://www.ncbi.nlm.nih.gov/gene/?term=40370
Akap200	Akap200	A kinase anchor protein 200	34170	0.61052878717455	https://www.ncbi.nlm.nih.gov/gene/?term=34170
Akt1	Akt1	Akt1	41957	0.465166214781158	https://www.ncbi.nlm.nih.gov/gene/?term=41957
Alh	Alh	Alhambra	40850	0.470055515164656	https://www.ncbi.nlm.nih.gov/gene/?term=40850
Alk	Alk	Anaplastic lymphoma kinase	53425	-0.863790301586063	https://www.ncbi.nlm.nih.gov/gene/?term=53425
Ama	Ama	Amalgam	40831	-5.53740697490049	https://www.ncbi.nlm.nih.gov/gene/?term=40831
Amnionless	Amnionless	amnionless	33199	-2.64767970775198	https://www.ncbi.nlm.nih.gov/gene/?term=33199
Amun	Amun	amun	32123	0.700878976460939	https://www.ncbi.nlm.nih.gov/gene/?term=32123
Amyrel	Amyrel	amyrel	36863	-4.17196548558259	https://www.ncbi.nlm.nih.gov/gene/?term=36863
Ance-2	Ance-2	Ance-2	34806	-4.12486991104649	https://www.ncbi.nlm.nih.gov/gene/?term=34806
Ance-3	Ance-3	Ance-3	34808	-1.30753971823856	https://www.ncbi.nlm.nih.gov/gene/?term=34808
Andorra	Andorra	andorra	32798	-5.35907375878017	https://www.ncbi.nlm.nih.gov/gene/?term=32798
Antp	Antp	Antennapedia	40835	-1.02115827297876	https://www.ncbi.nlm.nih.gov/gene/?term=40835
Aos1	Aos1	Activator of SUMO 1	41532	0.592096833333392	https://www.ncbi.nlm.nih.gov/gene/?term=41532
Aplip1	Aplip1	APP-like protein interacting protein 1	53472	-1.74977315247407	https://www.ncbi.nlm.nih.gov/gene/?term=53472
Aps	Aps	Aps	39226	0.702605046586304	https://www.ncbi.nlm.nih.gov/gene/?term=39226
Arc42	Arc42	Arc42	42364	0.50175060291808	https://www.ncbi.nlm.nih.gov/gene/?term=42364
Arf51F	Arf51F	ADP ribosylation factor at 51F	36699	0.365980216196195	https://www.ncbi.nlm.nih.gov/gene/?term=36699
Arf79F	Arf79F	ADP ribosylation factor at 79F	40506	0.553452776049206	https://www.ncbi.nlm.nih.gov/gene/?term=40506
ArfGAP1	ArfGAP1	ADP-ribosylation factor GTPase activating protein 1	39417	0.422443038542886	https://www.ncbi.nlm.nih.gov/gene/?term=39417
Arpc1	Arpc1	Actin-related protein 2/3 complex, subunit 1	34793	0.562969649506226	https://www.ncbi.nlm.nih.gov/gene/?term=34793
Arpc2	Arpc2	Actin-related protein 2/3 complex, subunit 2	35311	0.566438139076491	https://www.ncbi.nlm.nih.gov/gene/?term=35311
Ars2	Ars2	Arsenic resistance protein 2	35539	0.536200797385829	https://www.ncbi.nlm.nih.gov/gene/?term=35539
Art1	Art1	Arginine methyltransferase 1	41295	0.493787005773579	https://www.ncbi.nlm.nih.gov/gene/?term=41295
Art2	Art2	Arginine methyltransferase 2	33631	-5.01209702955912	https://www.ncbi.nlm.nih.gov/gene/?term=33631
Art4	Art4	Arginine methyltransferase 4	41219	0.55193870437946	https://www.ncbi.nlm.nih.gov/gene/?term=41219
Art6	Art6	Arginine methyltransferase 6	41699	-3.15355085487236	https://www.ncbi.nlm.nih.gov/gene/?term=41699
