geneSet	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
SRF_01	http://www.broadinstitute.org/gsea/msigdb/cards/SRF_01	-0.44501542324852045	-1.1973759963338957	0.137999999862	1	29	./Project_wg_result1576701818_GSEA/SRF_01.png	6	42965;33411;246501;32861;35393;31471	CG10899;CG17237;CG30178;CG31624;CG34435;CG6873
EVI1_06	http://www.broadinstitute.org/gsea/msigdb/cards/EVI1_06	-0.36944119823907584	-1.0227025671287768	0.422999999577	1	42	./Project_wg_result1576701818_GSEA/EVI1_06.png	28	37654;32671;33155;43489;31407;3885617;36864;3346226;37286;43702;2768722;3885612;318213;318575;38835;43188;34299;37498;43487;318593;37566;33886;34843;33887;2768987;35006;246504;43486	CG11023;CG42741;CG7024;Nach;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk19;ppk20;ppk22;ppk24;ppk25;ppk26;ppk28;ppk3;ppk30;ppk31;ppk5;ppk6;ppk7;ppk8;ppk9
EVI1_01	http://www.broadinstitute.org/gsea/msigdb/cards/EVI1_01	0.24417111106943418	1.038139858708278	0.49999991666668053	1	21	./Project_wg_result1576701818_GSEA/EVI1_01.png	19	31201;36363;31706;36080;31030;36015;33676;33941;35662;35147;3346207;40019;35546;40828;39389;40020;44108;318958;44126	AstA-R1;AstC-R1;AstC-R2;CG15630;CG31814;CG33543;Lac;Optix;Ptr;Rh7;Sec22;Syb;Tsp;Vamp7;Vinc;Ykt6;so;tup;zen
HMX1_01	http://www.broadinstitute.org/gsea/msigdb/cards/HMX1_01	-0.33779660823907137	-0.895665501473368	0.7077077069992916	1	26	./Project_wg_result1576701818_GSEA/HMX1_01.png	5	41668;42536;38722;41411;36813	CG8219;Fer3;Rbp4;cato;tin
CTGRYYYNATT_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/CTGRYYYNATT_UNKNOWN	-0.31578142016456906	-0.9230341712397249	0.738999999261	1	85	./Project_wg_result1576701818_GSEA/CTGRYYYNATT_UNKNOWN.png	48	38700;38742;33683;33208;3885617;32162;36864;39983;3346226;40549;37286;43702;2768722;34367;40891;34629;3885612;318213;318575;36741;37788;40198;38005;38835;43188;34299;37498;31397;43487;39982;318593;3346145;37566;38004;33886;38616;42132;34843;33887;2768987;41961;318912;35006;246504;31867;43486;39024;36813	Atg8b;CG33557;CG5653;Ets65A;Fer2;GluRIA;HLH4C;Ir25a;Ir31a;Ir64a;Ir75a;Ir75c;Ir76b;Ir84a;Ir8a;Nach;PHDP;Poxn;Ror;al;cato;fw;gsb;gsb-n;hkb;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk20;ppk22;ppk24;ppk25;ppk26;ppk3;ppk30;ppk31;ppk5;ppk6;ppk7;ppk8;ppk9;prd
GGCNNMSMYNTTG_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GGCNNMSMYNTTG_UNKNOWN	-0.3047870284266128	-0.880189113517307	0.822999999177	1	64	./Project_wg_result1576701818_GSEA/GGCNNMSMYNTTG_UNKNOWN.png	24	317841;40691;40826;41210;43160;34908;37668;34906;32644;44148;43151;43161;43158;41902;48531;39282;32758;43234;43150;34482;318149;31742;36900;37159	CG15336;CG17821;CG31546;CG4520;CG8534;CG9876;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;E(spl)mdelta-HLH;E(spl)mgamma-HLH;Elo68alpha;OdsH;Pp1-13C;PpD5;Rab9D;Vha16-2;Vha16-4;Vha16-5;pb;ro;sing;sna;wor
STAT3_01	http://www.broadinstitute.org/gsea/msigdb/cards/STAT3_01	-0.3097925399532132	-0.8176178602472132	0.8527054099672291	1	25	./Project_wg_result1576701818_GSEA/STAT3_01.png	7	49807;49806;40235;40078;36931;34035;34082	Acp76A;Spn28B;Spn28Da;Spn28F;Spn38F;Spn53F;Spn77Bb
TMTCGCGANR_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/TMTCGCGANR_UNKNOWN	-0.2926723268920195	-0.8624323961834477	0.907999999092	1	89	./Project_wg_result1576701818_GSEA/TMTCGCGANR_UNKNOWN.png	19	31877;41879;33833;38572;33832;42686;35763;38571;41413;39489;36816;33449;33451;38437;39469;39339;39658;318237;41389	CG10748;CG10862;CG14718;CG17300;CG18418;CG32832;CG4907;CG5342;CG6888;CG7264;CG7514;CG7755;Dic3;Erk7;Prosbeta4R1;Prosbeta4R2;Ucp4B;Ucp4C;h-cup
ALX4_01	http://www.broadinstitute.org/gsea/msigdb/cards/ALX4_01	-0.29042555496499683	-0.815143996259829	0.911999999088	1	50	./Project_wg_result1576701818_GSEA/ALX4_01.png	31	42067;34226;40532;39808;42800;43646;37486;43601;41996;38687;41125;317943;326126;41608;38681;39597;41958;42347;43432;41110;39586;318652;318071;37491;35906;35802;246575;33667;43600;38953;59137	CG10232;CG10405;CG11313;CG11670;CG11843;CG12951;CG13744;CG14642;CG14760;CG17477;CG18735;CG30375;CG31220;CG31268;CG32260;CG32523;CG3355;CG4386;CG4613;CG4914;CG4998;CG6462;CG6592;CG7432;CG9294;CG9733;CG9737;Jon66Cii;Sb;Task7;Try29F
CTCNANGTGNY_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/CTCNANGTGNY_UNKNOWN	-0.29177731201898577	-0.8842294325208975	0.916999999083	1	168	./Project_wg_result1576701818_GSEA/CTCNANGTGNY_UNKNOWN.png	109	41726;37157;32731;42067;34226;37191;43669;38451;39439;36283;40990;33239;40532;43812;39808;39039;40955;47894;42800;31469;37895;43646;37486;42452;41182;34718;32671;43601;41996;41017;38687;31883;4379817;33059;317841;317943;43484;246521;43489;36609;326126;40691;36331;40040;41608;42135;38681;33208;3885617;39597;36864;41210;36849;39036;41922;3346226;41958;42347;31470;38713;37286;5740879;43702;2768722;43432;34629;36385;42387;3885612;318213;318575;33051;36741;45432;38005;38835;43188;34299;37498;41110;39586;39038;43487;318593;37566;38004;33886;44268;318071;318192;37491;34843;33887;35906;2768987;43668;35802;35006;246504;246575;33667;32402;36802;43600;43486;38953;32403;37159;59137	5-HT1B;5-HT2B;5-HT7;Awh;CG10232;CG10405;CG11313;CG11670;CG11843;CG12477;CG12951;CG13296;CG13744;CG14642;CG14760;CG17477;CG17760;CG17821;CG18735;CG30274;CG30375;CG31220;CG31546;CG32260;CG32523;CG32755;CG3355;CG34367;CG4386;CG4546;CG4613;CG4836;CG4914;CG4998;CG5334;CG5347;CG6462;CG6592;CG7432;CG7786;CG8534;CG8850;CG9294;CG9733;CG9737;Ctr1C;DAT;Doc1;Doc2;Doc3;Dop1R1;Dop1R2;Elo68alpha;FoxP;Jon66Cii;List;Nach;Oaz;Oct-TyrR;Poxm;Poxn;Pph13;RunxA;RunxB;Sb;SerT;Try29F;TyrRII;Vsx1;Vsx2;al;ara;can;ey;gsb;gsb-n;hbn;kek4;lz;mAChR-B;otk;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk19;ppk20;ppk22;ppk23;ppk24;ppk25;ppk26;ppk28;ppk3;ppk30;ppk31;ppk5;ppk6;ppk7;ppk8;ppk9;prd;run;sut3
GNCF_01	http://www.broadinstitute.org/gsea/msigdb/cards/GNCF_01	-0.2799575900460888	-0.8171091935709264	0.94999999905	1	79	./Project_wg_result1576701818_GSEA/GNCF_01.png	50	40832;41048;40833;36240;42067;34226;35800;40532;39808;42800;43646;37486;43601;35942;41996;38687;33142;317943;326126;41608;38681;39597;41958;2768995;42347;43160;42530;43432;36385;35178;32644;43151;43161;41110;39586;43158;318071;37491;35906;40834;33927;35802;246575;33667;43600;43150;33411;38953;59137;31471	CG10232;CG10405;CG11313;CG11670;CG11843;CG12951;CG13318;CG13744;CG14642;CG14760;CG17237;CG17477;CG17599;CG17760;CG18735;CG30375;CG31220;CG32260;CG32523;CG3355;CG34435;CG4386;CG43980;CG4613;CG4914;CG4998;CG6462;CG6592;CG7432;CG9294;CG9733;CG9737;Dfd;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;E(spl)mdelta-HLH;E(spl)mgamma-HLH;Jon66Cii;Oatp26F;Phlpp;SIFaR;Sb;Scr;Try29F;dpn;en;ftz;sing;unpg
