geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
3L72D10	chr3L72D10	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3L;r=3L:16197868-16273608	-0.6188268282863156	-1.451931508039628	0.036307053904245795	0.09597965993961545	11	./Project_wg_result1576701897_GSEA/3L72D10.png	8	39779;50274;3772513;39781;39780;39782;3772322;5740883	CG13053;CG13054;CG13055;CG13070;CG13071;CG33687;CG33690;CG34248
2L34C4	chr2L34C4	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=2L;r=2L:13500624-13639411	-0.6488731328892413	-1.4844126975178433	0.018769551596694942	0.10249483553154298	10	./Project_wg_result1576701897_GSEA/2L34C4.png	6	34769;3771913;3771970;3772563;34771;3771733	CG16852;CG16853;CG33641;CG33642;CG33644;CG33645
3L72E1	chr3L72E1	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3L;r=3L:16289712-16348782	-0.6364559863489196	-1.5206126828325033	0.010341261623225169	0.1477832512315271	12	./Project_wg_result1576701897_GSEA/3L72E1.png	11	39799;39804;39794;50268;39792;39806;39807;10178940;39802;12797917;39798	CG13038;CG13040;CG13042;CG13045;CG13058;CG13060;CG13062;CG33060;CG42718;CG43249;CG4982
2L32C1	chr2L32C1	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=2L;r=2L:10917015-11018778	0.36133170433720213	1.1265424396975328	0.14285713877551032	0.2246376811594203	10	./Project_wg_result1576701897_GSEA/2L32C1.png	10	34529;34521;34516;34527;34519;34514;34526;53516;3346227;34513	CG14072;CG33129;Nup154;RpL9;SCAR;YL-1;dUTPase;dpr2;lectin-33A;piwi
2R	chr2R	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=2R;r=2R:326768-25255318	-0.5621382895025823	-1.3053194883260628	0.10312499989257813	0.2645796917209598	10	./Project_wg_result1576701897_GSEA/2R.png	4	38012;3885596;8673980;3771724	CG33680;CG34038;Kr;Sfp60F
2L22E1	chr2L22E1	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=2L;r=2L:2300103-2425041	-0.49471893030098585	-1.174198150190108	0.22199170101453142	0.507230255839822	12	./Project_wg_result1576701897_GSEA/2L22E1.png	7	33429;5740554;319042;33426;5740813;14462673;326178	CG18641;CG31948;CG31949;CG34447;CG34448;CG3557;CG43750
3L68E3	chr3L68E3	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3L;r=3L:11850645-11958909	-0.46461733467754324	-1.0917432478972917	0.31237113369858643	0.6508819323057365	12	./Project_wg_result1576701897_GSEA/3L68E3.png	8	39351;39356;39353;39354;12798218;39345;39355;39347	CCDC151;CG11588;CG17826;CG43294;CG7248;CG7252;Rpt4R;obst-G
3R93F14	chr3R93F14	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3R;r=3R:21842521-22016212	-0.44366965706484646	-1.0395637149640933	0.40709812066064915	0.7081337540577967	11	./Project_wg_result1576701897_GSEA/3R93F14.png	9	42585;42583;117470;42577;117472;42582;32625;42575;42579	CG17819;CG17843;CG31178;CG31465;CG6332;CG6690;Gr93b;Gr93d;P5CDh2
3R82A1	chr3R82A1	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3R;r=3R:4204493-4304604	-0.424331837434447	-0.9842512128902193	0.5144927530905872	0.7609645638010488	10	./Project_wg_result1576701897_GSEA/3R82A1.png	2	318778;40537	Or82a;TwdlV
2L31B1	chr2L31B1	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=2L;r=2L:10064121-10278811	-0.28756743310804334	-0.6834180468178935	0.9437627802211015	0.9367551247417766	12	./Project_wg_result1576701897_GSEA/2L31B1.png	5	318995;34355;34341;34367;34349	CG13137;CG31874;CG44153;CG5731;Ror
3R99F6	chr3R99F6	http://www.ensembl.org/Drosophila_melanogaster/Location/View?chr=3R;r=3R:30466050-30512214	-0.3790080012337568	-0.860490569090098	0.7123287663726778	0.9689072514434027	10	./Project_wg_result1576701897_GSEA/3R99F6.png	8	318559;43624;326112;43626;43623;3885583;43625;43628	CG31371;CG34041;PH4alphaMP;PH4alphaNE1;PH4alphaNE2;PH4alphaSG1;PH4alphaSG2;spdo
