geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0007277	pole cell development	http://amigo.geneontology.org/amigo/term/GO:0007277	0.6921788891319213	2.8510198440545698	0	0	21	./Project_wg_result1576699862_GSEA/GO_0007277.png	20	34924;35864;34364;35696;36272;5740599;41066;34521;36915;41138;53558;36040;35717;36491;37528;40589;40559;34896;38580;37417	Cul3;CycE;Dhc64C;Fmr1;MCPH1;RhoGEF2;TER94;cnn;gcl;lost;me31B;osk;pgc;piwi;rump;scra;tacc;tor;tud;wun2
GO:0035966	response to topologically incorrect protein	http://amigo.geneontology.org/amigo/term/GO:0035966	0.6739400749745237	2.8415161984933395	0	0	20	./Project_wg_result1576699862_GSEA/GO_0035966.png	12	48582;50022;42852;32133;40653;41840;36583;38936;40265;44226;41704;36040	BI-1;CG5199;Hsc70-3;Hsc70-4;Hsc70-5;Hsp68;Hsp70Bb;Hsp70Bbb;PEK;TER94;Xbp1;rdx
GO:0031647	regulation of protein stability	http://amigo.geneontology.org/amigo/term/GO:0031647	0.590639001507473	2.684564025635552	0	0	26	./Project_wg_result1576699862_GSEA/GO_0031647.png	25	38643;38389;38232;40982;36750;35560;47877;38160;44643;36382;41704;35151;41785;45821;32169;35653;42935;40308;48448;41551;3772180;42896;34225;31874;53554	Abl;Bap170;CSN3;Cdc37;CkIIalpha;Cnx99A;DnaJ-1;Hsp83;Mlf;Nedd8;Ptp61F;Sgt1;Sin3A;Snx3;Sxl;Usp7;alien;cos;crb;eff;krz;puf;rdx;ric8a;tws
GO:0016482	cytosolic transport	http://amigo.geneontology.org/amigo/term/GO:0016482	0.6151168572849329	2.6577036972882957	0	0	24	./Project_wg_result1576699862_GSEA/GO_0016482.png	24	34527;36810;33346;45821;44819;38811;39610;34126;41459;36791;36311;47942;43310;31144;37536;37201;34636;34840;42066;37176;42672;40950;47091;39717	Abl;CG15099;CG2747;GCC185;Khc;Klp98A;Lis-1;Nup154;Rab14;Rab6;Snx6;Vps26;Vps35;cher;comm;comt;cpb;ena;g;lark;loco;mop;scat;wash
GO:0016333	morphogenesis of follicular epithelium	http://amigo.geneontology.org/amigo/term/GO:0016333	0.728075631297425	2.397782292998407	0	0	29	./Project_wg_result1576699862_GSEA/GO_0016333.png	29	48973;41168;31293;33156;41718;35420;35771;36461;38961;38534;37386;47998;42504;40308;3355109;42752;31459;40191;44052;42896;44100;47594;31239;34225;42066;45278;44448;42672;31181	Abi;CSN3;Cbl;Cip4;Cul2;Dp;N;Parp;Patj;Scm;Shc;Src64B;aPKC;alien;cher;crb;csw;egh;kug;l(2)gl;lig;loco;orb;ph-p;rin;scrib;shg;slmb;spoon
GO:0048284	organelle fusion	http://amigo.geneontology.org/amigo/term/GO:0048284	0.402363184079602	1.8207260625655868	0	0	28	./Project_wg_result1576699862_GSEA/GO_0048284.png	28	32152;41952;40232;31263;35554;36040;34110;34966;39485;40589;41193;42501;31030;33418;40168;42854;42841;36015;36173;47091;43618;31269;42745;43317;40336;42561;34141;33472	CDase;CG15399;GABA-B-R2;Pld;Rab11;Rab5;Rab7;Rab8;Rbsn-5;Sec22;Snap24;Syx13;Syx1A;Syx4;Syx5;Syx7;TER94;Tusp;Vamp7;comt;fs(1)Ya;fzo;msps;mtsh;park;polo;tacc;wisp
GO:0003013	circulatory system process	http://amigo.geneontology.org/amigo/term/GO:0003013	0.3732902263118626	1.6874589271734908	0	0	26	./Project_wg_result1576699862_GSEA/GO_0003013.png	26	40162;44817;32020;41636;42596;42672;35881;49090;41634;32158;43844;33361;36071;41635;33571;33770;32428;32253;33769;31129;41742;44849;44856;32999;34495;42683	CCAP;CG32473;CG8773;CG8774;Crz;Ggamma1;H15;KCNQ;Nos;Ork1;RyR;Scgdelta;Sox102F;amn;cac;cyc;eag;for;how;loco;mid;pnr;rad;ru;tim;wry
GO:0035148	tube formation	http://amigo.geneontology.org/amigo/term/GO:0035148	0.4373058282589785	1.6306721023950888	0	0	21	./Project_wg_result1576699862_GSEA/GO_0035148.png	21	32057;31557;33903;33014;31521;38580;38067;43717;33409;45012;31816;3346167;37949;38065;47137;35902;34009;38012;41932;41069;45884	Act5C;CG11966;CG45105;CG8213;Dhc64C;Dlic;Kr;Mmp1;Moe;Rab35;Rbcn-3A;Sec24CD;Vha68-2;btsz;gammaCOP;kkv;klar;knk;mmy;trh;wg
GO:0035329	hippo signaling	http://amigo.geneontology.org/amigo/term/GO:0035329	0.45598109922904745	1.5577702376376859	0	0	26	./Project_wg_result1576699862_GSEA/GO_0035329.png	26	43673;33882;252554;32948;37247;41783;32979;43651;33619;41398;32351;33131;37851;42634;32771;42734;45959;2768940;2768852;42896;35576;42186;37203;33245;33627;34179	14-3-3epsilon;Csk;Mer;Mob4;Pez;Pp2A-29B;Rassf;Tao;crb;d;dco;ds;ed;ft;hpo;hppy;jub;kibra;mats;mnb;mts;par-1;sav;wap;wts;yki
GO:0035215	genital disc development	http://amigo.geneontology.org/amigo/term/GO:0035215	0.37293713228154884	1.5408042928464056	0	0	28	./Project_wg_result1576699862_GSEA/GO_0035215.png	27	35341;33881;31293;44111;37785;34132;32256;33281;34445;33418;33432;42037;42990;42356;37973;45285;42737;34903;47763;34982;34009;31883;39564;40398;36283;42541;36240	Abd-B;Btk29A;Dll;Dr;Myo31DF;N;PDZ-GEF;Rab5;S;TfAP-2;abd-A;bnl;btl;cad;dac;dpp;en;esg;hep;hh;ken;lbl;lz;otk;slpr;tnc;wg
GO:0051606	detection of stimulus	http://amigo.geneontology.org/amigo/term/GO:0051606	-0.4916911450821205	-1.4125086099953792	0	0.18738675629618154	209	./Project_wg_result1576699862_GSEA/GO_0051606.png	157	31690;40991;33683;39015;35655;34545;41011;36715;39194;2768728;38354;39982;41052;117342;117346;36094;40116;39189;117336;2768714;31686;31246;37250;34651;7354418;39191;38835;41018;36212;318012;170887;246659;37726;117492;7354402;33157;318912;37917;33453;31865;42568;39109;2768964;117500;41654;8673994;117496;41008;31694;117488;117347;43309;42415;33381;37711;32562;31867;36254;34601;117473;318632;30978;38453;35980;117499;37022;117348;42471;117343;39983;36257;37881;117349;117476;36716;42765;117470;43753;41119;117501;40744;32085;35516;41007;35644;42712;318778;42769;39110;33336;36413;36187;37252;117338;39269;246631;33450;41715;32189;39571;37716;33251;35514;35705;33126;7354417;42768;44873;117485;37715;40065;117487;318736;40891;32086;43341;318610;39120;38616;7354400;42540;318158;260693;317838;43375;117472;192481;3346204;36350;37347;318728;117486;246471;37501;37725;318011;37269;34603;39324;117344;34236;34602;39378;39929;117484;318013;246442;40648;117498;117477;33335;117327;7354416;318727;32067;34641;7354412	CG1339;CG31750;CG32395;CheA29a;CheB53b;CheB93a;CheB93b;Gr10a;Gr10b;Gr21a;Gr22a;Gr22b;Gr22c;Gr22e;Gr22f;Gr23a;Gr28a;Gr28b;Gr32a;Gr33a;Gr36a;Gr36b;Gr36c;Gr39a;Gr39b;Gr43a;Gr47a;Gr57a;Gr58a;Gr58c;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;Gr5a;Gr63a;Gr64f;Gr68a;Gr77a;Gr8a;Gr92a;Gr93a;Gr93b;Gr93d;Gr97a;Gr98b;Gr98c;Gr98d;Gr9a;Ir100a;Ir10a;Ir11a;Ir20a;Ir21a;Ir25a;Ir31a;Ir41a;Ir48b;Ir48c;Ir51b;Ir52a;Ir52b;Ir52d;Ir54a;Ir56a;Ir56b;Ir56d;Ir60a;Ir60b;Ir60d;Ir60e;Ir64a;Ir67a;Ir67b;Ir67c;Ir68a;Ir68b;Ir75a;Ir75b;Ir75c;Ir75d;Ir7a;Ir7b;Ir7d;Ir7e;Ir7f;Ir7g;Ir84a;Ir85a;Ir87a;Ir8a;Ir92a;Ir93a;Ir94a;Ir94b;Ir94c;Ir94d;Ir94e;Ir94f;Ir94g;Ir94h;Or10a;Or13a;Or19b;Or1a;Or22a;Or22b;Or22c;Or23a;Or30a;Or33a;Or33b;Or33c;Or42a;Or42b;Or43a;Or45b;Or46a;Or47a;Or47b;Or49a;Or49b;Or56a;Or59a;Or59b;Or59c;Or63a;Or65a;Or65b;Or65c;Or67a;Or67b;Or67c;Or67d;Or69a;Or74a;Or82a;Or83a;Or83c;Or85a;Or85b;Or85c;Or85d;Or85e;Or85f;Or88a;Or94b;Or98a;Or98b;Pkd2;TrpA1;brv1;brv3;nan;ppk26
GO:0031123	RNA 3'-end processing	http://amigo.geneontology.org/amigo/term/GO:0031123	-0.48218431185335475	-1.206120070217563	0.12825651289753856	0.4917588894202596	24	./Project_wg_result1576699862_GSEA/GO_0031123.png	2	41581;36520	CG10909;CG6220
