userId	geneSymbol	geneName	entrezgene	score	gLink
14-3-3epsilon	14-3-3epsilon	14-3-3epsilon	42186	0.422378157145813	https://www.ncbi.nlm.nih.gov/gene/?term=42186
18w	18w	18 wheeler	37277	-0.621943378732275	https://www.ncbi.nlm.nih.gov/gene/?term=37277
26-29-p	26-29-p	26-29kD-proteinase	39547	0.967220666560946	https://www.ncbi.nlm.nih.gov/gene/?term=39547
2mit	2mit	2mit	41616	-1.73871226243201	https://www.ncbi.nlm.nih.gov/gene/?term=41616
4E-T	4E-T	eIF4E-Transporter	43836	0.696742537184507	https://www.ncbi.nlm.nih.gov/gene/?term=43836
5-HT1A	5-HT1A	5-hydroxytryptamine (serotonin) receptor 1A	37196	-2.20213201856188	https://www.ncbi.nlm.nih.gov/gene/?term=37196
5-HT1B	5-HT1B	5-hydroxytryptamine (serotonin) receptor 1B	37191	-3.27634556659249	https://www.ncbi.nlm.nih.gov/gene/?term=37191
5-HT2A	5-HT2A	5-hydroxytryptamine (serotonin) receptor 2A	40575	-1.86140910289053	https://www.ncbi.nlm.nih.gov/gene/?term=40575
5-HT2B	5-HT2B	5-hydroxytryptamine (serotonin) receptor 2B	41017	-2.88777014663129	https://www.ncbi.nlm.nih.gov/gene/?term=41017
5-HT7	5-HT7	5-hydroxytryptamine (serotonin) receptor 7	43669	-2.1708212188025	https://www.ncbi.nlm.nih.gov/gene/?term=43669
ACXA	ACXA	ACXA	53432	-5.72412716339314	https://www.ncbi.nlm.nih.gov/gene/?term=53432
ACXB	ACXB	ACXB	53427	-6.60405035897692	https://www.ncbi.nlm.nih.gov/gene/?term=53427
ACXC	ACXC	ACXC	34689	-5.92699995551209	https://www.ncbi.nlm.nih.gov/gene/?term=34689
ACXD	ACXD	ACXD	38284	-1.21700736541869	https://www.ncbi.nlm.nih.gov/gene/?term=38284
AGBE	AGBE	1,4-Alpha-Glucan Branching Enzyme	326264	0.610929505355023	https://www.ncbi.nlm.nih.gov/gene/?term=326264
AGO1	AGO1	Argonaute-1	36544	0.477196688702187	https://www.ncbi.nlm.nih.gov/gene/?term=36544
AGO3	AGO3	Argonaute 3	3355150	0.744202812394638	https://www.ncbi.nlm.nih.gov/gene/?term=3355150
AIF	AIF	Apoptosis inducing factor	33390	0.380972481861957	https://www.ncbi.nlm.nih.gov/gene/?term=33390
AP-1-2beta	AP-1-2beta	Adaptor Protein complex 1/2, beta subunit	32987	0.507397124266047	https://www.ncbi.nlm.nih.gov/gene/?term=32987
AP-1mu	AP-1mu	Adaptor Protein complex 1, mu subunit	41150	0.44492367721522	https://www.ncbi.nlm.nih.gov/gene/?term=41150
AP-2alpha	AP-2alpha	Adaptor Protein complex 2, alpha subunit	33211	0.529005958340199	https://www.ncbi.nlm.nih.gov/gene/?term=33211
AP-2mu	AP-2mu	Adaptor Protein complex 2, mu subunit	42642	0.553543057921647	https://www.ncbi.nlm.nih.gov/gene/?term=42642
APC7	APC7	Anaphase Promoting Complex subunit 7	31594	0.820230121344686	https://www.ncbi.nlm.nih.gov/gene/?term=31594
ATP7	ATP7	ATP7	32142	0.35215332655482	https://www.ncbi.nlm.nih.gov/gene/?term=32142
Abd-B	Abd-B	Abdominal B	47763	-1.98378637743404	https://www.ncbi.nlm.nih.gov/gene/?term=47763
Abi	Abi	Abelson interacting protein	41718	0.700688154536972	https://www.ncbi.nlm.nih.gov/gene/?term=41718
Abl	Abl	Abl tyrosine kinase	45821	0.637562812774013	https://www.ncbi.nlm.nih.gov/gene/?term=45821
Abp1	Abp1	Actin binding protein 1	39520	0.863586292137026	https://www.ncbi.nlm.nih.gov/gene/?term=39520
Ac3	Ac3	Ac3	35419	-2.59472614542387	https://www.ncbi.nlm.nih.gov/gene/?term=35419
Ac78C	Ac78C	Adenylyl cyclase 78C	40333	-2.35215767317789	https://www.ncbi.nlm.nih.gov/gene/?term=40333
