geneSet	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
CRGAARNNNNCGA_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/CRGAARNNNNCGA_UNKNOWN	0.254154313662274	1.7117482903420915	0	0	29	./Project_wg_result1576701242_GSEA/CRGAARNNNNCGA_UNKNOWN.png	27	37464;34395;43856;40680;48571;37785;33203;40693;32602;33619;37123;42567;38798;41080;35173;41341;34665;34363;36603;50003;31292;37786;318582;33613;40962;44849;36230	Acn;CASK;CG10321;CG11982;CG17385;CG31076;CG45263;Cdc27;GATAd;MTA1-like;Pi3K21B;Prp19;TM4SF;Tctp;Tsp47F;U2af50;bun;eEF1delta;ed;fred;grn;heph;ken;kirre;kra;nej;pnr
KRCTCNNNNMANAGC_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/KRCTCNNNNMANAGC_UNKNOWN	0.2169318746892094	1.0228566923403846	0	1	24	./Project_wg_result1576701242_GSEA/KRCTCNNNNMANAGC_UNKNOWN.png	24	44118;31976;43229;31293;31017;38174;48903;43832;42313;41773;36002;38788;33983;35652;2769008;33276;42103;3772265;42547;35942;43234;2768995;32032;32359	C901;CG12480;CG4341;CG43980;Dl;Dscam1;Dscam2;Dscam3;Dscam4;His2Av;His2B:CG33868;His4r;N;PlexA;cue;l(3)73Ah;nocte;ro;sdk;slou;sqa;uif;unpg;vih
EVI1_06	http://www.broadinstitute.org/gsea/msigdb/cards/EVI1_06	-0.3684036131057984	-0.979143948659852	0.573999999426	1	50	./Project_wg_result1576701242_GSEA/EVI1_06.png	34	31107;37654;31912;32731;3885617;32671;34299;317858;33887;318575;34843;37566;31407;34295;38440;318593;43487;246504;3346226;36864;3885612;38835;33155;43188;2768722;35006;33886;318213;43486;43702;43485;37498;43489;2768987	CG11023;CG32110;CG42741;CG7024;Nach;Nmdar2;btd;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk18;ppk19;ppk20;ppk21;ppk22;ppk23;ppk24;ppk25;ppk26;ppk27;ppk28;ppk3;ppk30;ppk31;ppk5;ppk7;ppk8;ppk9
GGCNNMSMYNTTG_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/GGCNNMSMYNTTG_UNKNOWN	-0.33563721297676563	-0.9193191669330288	0.742999999257	1	73	./Project_wg_result1576701242_GSEA/GGCNNMSMYNTTG_UNKNOWN.png	12	318148;34482;318149;40691;317846;48531;34906;31971;44148;39245;41902;32644	CG31546;CG4520;Elo68beta;Pp1-13C;PpD5;Rab9D;Rab9E;RabX2;Vha16-3;Vha16-5;sing;wor
MEF2_04	http://www.broadinstitute.org/gsea/msigdb/cards/MEF2_04	-0.2955040201775969	-0.7564577721486697	0.931999999068	1	29	./Project_wg_result1576701242_GSEA/MEF2_04.png	6	38285;53432;34689;317967;53427;33927	ACXA;ACXB;ACXC;CG32301;CG32305;Oatp26F
STAT3_01	http://www.broadinstitute.org/gsea/msigdb/cards/STAT3_01	-0.28922657242599037	-0.7317027242197403	0.95390781467544306	1	27	./Project_wg_result1576701242_GSEA/STAT3_01.png	10	326261;40235;43642;49806;40236;317912;36931;34887;40078;49807	Acp76A;CG15269;Spn100A;Spn28Db;Spn28F;Spn38F;Spn53F;Spn75F;Spn77Bb;Spn77Bc
PPARG_01	http://www.broadinstitute.org/gsea/msigdb/cards/PPARG_01	-0.28692136872176977	-0.7627361345462256	0.956999999043	1	45	./Project_wg_result1576701242_GSEA/PPARG_01.png	18	47894;31673;37159;34229;43762;33208;317841;38005;38004;36741;41210;32758;33006;43511;40691;31689;34629;39245	CG1409;CG15035;CG17003;CG17821;CG2053;CG31546;CG8534;Elo68alpha;Elo68beta;OdsH;Poxn;Rcd-1r;al;fig;gsb;gsb-n;hbn;prd
RYCACNNRNNRNCAG_UNKNOWN	http://www.broadinstitute.org/gsea/msigdb/cards/RYCACNNRNNRNCAG_UNKNOWN	-0.2977103829824132	-0.8246827875134922	0.95999999904	1	92	./Project_wg_result1576701242_GSEA/RYCACNNRNNRNCAG_UNKNOWN.png	58	39418;34007;37844;39569;43825;32008;33760;35975;39570;31912;32731;3885617;47285;43812;40990;39567;45396;3772265;33239;32671;34299;33887;318575;47894;34843;37566;35066;31469;34295;38440;318593;43487;246504;31470;3346226;36864;33208;3885612;38835;43188;35404;38005;2768722;35006;38004;36741;33886;40549;318213;43486;43702;43485;34011;37498;34629;43489;2768987;33668	Ant2;CG11929;CG14024;D;E5;His2B:CG33868;Nach;Oli;Poxm;Poxn;Pph13;Sox21a;Sox21b;Vsx1;Vsx2;Wnt10;Wnt2;Wnt4;al;btd;dimm;ey;gsb;gsb-n;hbn;hkb;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk18;ppk19;ppk20;ppk21;ppk22;ppk23;ppk24;ppk25;ppk26;ppk27;ppk28;ppk29;ppk3;ppk30;ppk31;ppk5;ppk7;ppk8;ppk9;prd;repo;sv;toe
EVI1_03	http://www.broadinstitute.org/gsea/msigdb/cards/EVI1_03	-0.2937898959579657	-0.8077435026150612	0.963999999036	1	86	./Project_wg_result1576701242_GSEA/EVI1_03.png	45	37654;31912;32731;3885617;40019;40020;40828;32671;44108;34299;33887;318575;34843;37566;39389;44126;34295;38440;318593;43487;246504;3355097;3346226;36864;3885612;38835;43234;43188;32918;2768722;35006;42469;326182;33886;318213;43486;43702;43485;37498;32538;246501;40827;43489;35393;2768987	AstA-R1;AstC-R1;AstC-R2;CG15696;CG30178;CG31624;CG31988;CG42741;CG8565;Gpb5;Hs3st-B;Nach;Optix;Rh7;btd;ppk;ppk10;ppk11;ppk12;ppk13;ppk14;ppk15;ppk16;ppk17;ppk18;ppk19;ppk20;ppk21;ppk22;ppk23;ppk24;ppk25;ppk26;ppk27;ppk28;ppk3;ppk30;ppk31;ppk5;ppk7;ppk8;ppk9;ro;zen;zen2
EVI1_01	http://www.broadinstitute.org/gsea/msigdb/cards/EVI1_01	-0.2550736669784817	-0.624852315262549	0.9738955813515104	1	21	./Project_wg_result1576701242_GSEA/EVI1_01.png	14	33676;35662;35546;35147;3346207;40019;40020;40828;318958;44108;39389;44126;34703;42074	AstA-R1;AstC-R1;AstC-R2;CG15630;CG31814;CG33543;CG5122;CG5265;Optix;Ptr;Rh7;so;tup;zen
